t x y z qx qy qz qw rx_deg ry_deg rz_deg
257.000000 -0.096228320 3.482979670 1.538785140 0.064036400 -0.008459975 -0.008483926 0.997875639 7.351738393 -0.905164621 -1.032385275 
258.000000 -0.238500610 3.483662710 1.463478430 0.057371032 0.000191599 -0.006417776 0.998332279 6.577573462 0.064111000 -0.732957310 
259.000000 -0.217432040 3.582116020 1.509840630 0.057990161 -0.001537549 -0.006737984 0.998293232 6.649965721 -0.131114399 -0.781041797 
260.000000 -0.216885500 3.654534430 1.614151520 0.060376767 -0.002107458 -0.007762790 0.998143248 6.924578041 -0.187340666 -0.902521483 
261.000000 -0.202509960 3.710622760 1.674088110 0.064855812 -0.002494814 -0.006861677 0.997867936 7.438989261 -0.234280260 -0.803188143 
262.000000 -0.165016010 3.721168780 1.668641500 0.063412253 -0.005717603 -0.005615849 0.997955238 7.275279941 -0.613053417 -0.683815418 
263.000000 -0.182289100 3.867690590 1.677480820 0.067027787 -0.007177112 -0.004603660 0.997714674 7.690846346 -0.785221621 -0.581525663 
264.000000 -0.181358400 3.936034660 1.679702450 0.068166331 -0.008245250 -0.003261477 0.997634567 7.821156312 -0.917163945 -0.437319964 
265.000000 -0.142404250 3.927378280 1.700075550 0.067129906 -0.010251400 -0.004272107 0.997682431 7.704426464 -1.139213194 -0.567393371 
266.000000 -0.137633730 3.849519500 1.699839180 0.063125086 -0.012963648 -0.003144496 0.997916469 7.244837476 -1.459841412 -0.453507735 
267.000000 -0.068353850 3.852069640 1.755688590 0.065942652 -0.014704934 -0.002926870 0.997710762 7.569267625 -1.659318937 -0.445935704 
268.000000 -0.012873050 3.791932210 1.826374400 0.063166004 -0.015409766 0.000514137 0.997883926 7.244788602 -1.766093616 -0.052774355 
269.000000 0.028156420 3.769413380 1.895537110 0.061670979 -0.018215749 0.002733939 0.997926552 7.069284946 -2.102835747 0.184030778 
270.000000 0.191416960 3.274084730 1.808880920 0.031523410 -0.024587203 0.001950261 0.999198649 3.610696701 -2.823415640 0.134651174 
271.000000 0.278111910 3.178792570 1.828937370 0.023784589 -0.027729198 0.003240317 0.999327216 2.718603241 -3.185867184 0.295945567 
272.000000 0.346266760 3.224010180 1.890866000 0.025214886 -0.027690100 0.002699632 0.999294841 2.884468159 -3.180247325 0.229482785 
273.000000 0.398964130 3.191602220 1.996816110 0.025056294 -0.028963138 0.002938496 0.999262070 2.865389374 -3.326788108 0.253746686 
274.000000 0.410252370 3.114537590 2.037832580 0.025974206 -0.030134361 0.003672396 0.999201568 2.968112975 -3.463425752 0.331404057 
275.000000 0.445542330 3.096838780 2.109545060 0.029407812 -0.031280049 0.002646877 0.999074438 3.365825814 -3.592384890 0.198008266 
276.000000 0.411561270 3.121294200 2.135190130 0.031012851 -0.030487597 0.003160364 0.999048909 3.548285554 -3.503713125 0.253934918 
277.000000 0.444324950 3.030888790 2.157807190 0.023412877 -0.034047114 0.002463425 0.999142914 2.678207249 -3.907806126 0.191144914 
278.000000 0.457375470 2.813057390 2.239057610 0.003197345 -0.035087676 0.001054896 0.999378566 0.362815525 -4.021941573 0.108217904 
279.000000 0.452473270 2.796133190 2.230727260 -0.005144778 -0.030750477 0.000740446 0.999513577 -0.593002240 -3.523815606 0.103131518 
280.000000 0.499565490 2.796405500 2.338484490 -0.005519195 -0.033630172 0.001777121 0.999417526 -0.640394289 -3.853269174 0.225303854 
281.000000 0.559778230 2.802189370 2.445705540 -0.005542867 -0.036179271 0.003391141 0.999324190 -0.650510697 -4.144496644 0.412395335 
